,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
46,OnePlus 8 Pro,True,True,True,True,"2020, April 14","Available. Released 2020, April 21",165.3 x 74.4 x 8.5 mm (6.51 x 2.93 x 0.33 in),199 g (7.02 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant,"Fluid AMOLED, 1B colors, 120Hz, HDR10+","6.78 inches, 111.7 cm2 (~90.8% screen-to-body ratio)",1440 x 3168 pixels (~513 ppi density),Corning Gorilla Glass 5,,"Android 10, upgradable to Android 13, OxygenOS 13",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,"128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.8, 25mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, Laser AF, OIS
8 MP, f/2.4, (telephoto), 1/1.0µm, PDAF, OIS, 3x optical zoom
48 MP, f/2.2, 14mm, 116˚ (ultrawide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.4, (Color filter camera)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.5, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4510 mAh, non-removable","30W wired, 50% in 23 min (advertised)
30W wireless, 50% in 30 min (advertised)
3W reverse wireless",,"Glacial Green, Ultramarine Blue, Onyx Black","IN2023, IN2020, IN2021, IN2025",,,$ 425.00 / C$ 977.15 / £ 429.99 / € 194.66,"
AnTuTu: 573276 (v8)
GeekBench: 3374 (v5.1)
GFXBench: 24fps (ES 3.1 onscreen)",Endurance rating 103h,"7,199,203 hits",4.3
47,OnePlus 8,True,True,True,True,"2020, April 14","Available. Released 2020, April 21",160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),180 g (6.35 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.55 inches, 103.6 cm2 (~88.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,,"Android 10, upgradable to Android 13, OxygenOS 13",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
16 MP, f/2.2, 14mm, 116˚ (ultrawide), 1/3.6"", 1.0µm
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4300 mAh, non-removable","30W wired, 50% in 22 min (advertised)",,"Onyx Black, Glacial Green, Interstellar Glow, Polar Silver","IN2013, IN2017, IN2010, IN2019",,,$ 499.95,"
AnTuTu: 564708 (v8)
GeekBench: 13291 (v4.4), 3399 (v5.1)
GFXBench: 46fps (ES 3.1 onscreen)",Endurance rating 108h,"4,833,994 hits",4.0
48,OnePlus 8 5G UW (Verizon),True,True,True,True,"2020, April 14","Available. Released 2020, April 29",160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),180 g (6.35 oz),"Glass front, glass back (Gorilla Glass 5), aluminum frame",Pre-installed Nano-SIM,IP68 dust/water resistant (up to 2m for 60 min),"Fluid AMOLED, 90Hz, HDR10+","6.55 inches, 103.6 cm2 (~88.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,,"Android 10, OxygenOS 10.0",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,128GB 8GB RAM,"48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
16 MP, f/2.2, 14mm, 116˚ (ultrawide)
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4300 mAh, non-removable","30W wired, 50% in 22 min (advertised)",,"Onyx Black, Polar Silver",,1.10 W/kg (head)     1.10 W/kg (body)     ,,About 740 EUR,,,"457,665 hits",
49,OnePlus 8 5G (T-Mobile),True,True,True,True,"2020, April 14","Available. Released 2020, April 29",160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),180 g (6.35 oz),"Glass front, glass back (Gorilla Glass 5), aluminum frame",Nano-SIM,"IP68 dust/water resistant (not for use underwater, liquid damage is not covered under warranty)","Fluid AMOLED, 90Hz, HDR10+","6.55 inches, 103.6 cm2 (~88.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,,"Android 10, OxygenOS 10.0",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,128GB 8GB RAM,"48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
16 MP, f/2.2, 14mm, 116˚ (ultrawide)
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4300 mAh, non-removable","30W wired, 50% in 22 min (advertised)",,"Onyx Black, Interstellar Glow",,1.10 W/kg (head)     1.10 W/kg (body)     ,,About 650 EUR,,,"450,698 hits",
50,OnePlus 7T Pro 5G McLaren,True,True,True,True,"2019, October 23","Available. Released 2019, November 05",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Corning Gorilla Glass 6,,"Android 10, OxygenOS 10.0",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,256GB 12GB RAM,"48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 13mm (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 4085 mAh, non-removable",30W wired,,Papaya Orange,HD1925,,,About 800 EUR,,,"1,827,488 hits",
51,OnePlus 7T Pro,True,True,True,False,"2019, October 10","Available. Released 2019, October 12",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Corning Gorilla Glass 5,,"Android 10, upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,"256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, OIS
16 MP, f/2.2, 17mm (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 4085 mAh, non-removable",30W wired,,"Haze Blue, McLaren Edition","HD1911, HD1913, HD1910",,,About 1030 EUR,"
AnTuTu: 395868 (v7), 493901 (v8)
GeekBench: 11246 (v4.4), 2803 (v5.1)
GFXBench: 24fps (ES 3.1 onscreen)",Endurance rating 100h,"3,621,161 hits",4.6
52,OnePlus 7T,True,True,True,False,"2019, September 26","Available. Released 2019, September 27",160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in),190 g (6.70 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.55 inches, 103.6 cm2 (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,,"Android 10, upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,"128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.6, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
12 MP, f/2.2, 51mm (telephoto), 1.0µm, PDAF, 2x optical zoom
16 MP, f/2.2, 17mm (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 3800 mAh, non-removable",30W wired,,"Frosted Silver, Glacier Blue, White","HD1901, HD1903, HD1900, HD1907, HD1905",,,$ 148.94 / £ 139.99 / € 150.27,"
AnTuTu: 391545 (v7), 485585 (v8)
GeekBench: 11394 (v4.4), 2858 (v5.1)
GFXBench: 41fps (ES 3.1 onscreen)",Endurance rating 90h,"5,405,101 hits",4.4
53,OnePlus 7 Pro 5G,True,True,True,True,"2019, May 14","Available. Released 2019, September 06",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 109.2 cm2 (~88.5% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~515 ppi density)",Corning Gorilla Glass 5,,"Android 9.0 (Pie), upgradable to Android 10, OxygenOS 10.0.4",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x zoom, PDAF, OIS
16 MP, f/2.2, 13mm (ultrawide)","Dual-LED dual-tone flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",30W wired,,"Mirror Grey, Almond, Nebula Blue",GM1925,,,About 800 EUR,,,"1,352,868 hits",
54,OnePlus 7 Pro,True,True,True,False,"2019, May 14","Available. Released 2019, May 16",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)",Corning Gorilla Glass 5,,"Android 9.0 (Pie), upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, OIS
16 MP, f/2.2, 17mm (ultrawide), AF","Dual-LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","Li-Po 4000 mAh, non-removable",30W wired,,"Mirror Grey, Almond, Nebula Blue","GM1911, GM1913, GM1917, GM1910, GM1915",,,About 590 EUR,"
AnTuTu: 364025 (v7)
GeekBench: 10943 (v4.4), 2721 (v5.1)
GFXBench: 19fps (ES 3.1 onscreen)",Endurance rating 85h,"8,026,549 hits",4.4
55,OnePlus 7,True,True,True,False,"2019, May 14","Available. Released 2019, June 04",157.7 x 74.8 x 8.2 mm (6.21 x 2.94 x 0.32 in),182 g (6.42 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Optic AMOLED, HDR10","6.41 inches, 100.9 cm2 (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)",Corning Gorilla Glass 6,,"Android 9.0 (Pie), upgradable to Android 12, OxygenOS 12.1",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS
5 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable",20W wired,,"Mirror Gray, Red, Mirror Blue","GM1901, GM1900, GM1905, GM1903",,,About 400 EUR,"
AnTuTu: 367812 (v7)
GeekBench: 11075 (v4.4)
GFXBench: 36fps (ES 3.1 onscreen)",Endurance rating 102h,"4,861,638 hits",4.2
56,OnePlus 6T McLaren,True,True,True,False,"2018, December 11","Available. Released 2018, December 13",157.5 x 74.8 x 8.2 mm (6.20 x 2.94 x 0.32 in),185 g (6.53 oz),"Glass front (Gorilla Glass 6), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"6.41 inches, 100.9 cm2 (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)",Corning Gorilla Glass 6,,"Android 9.0 (Pie), upgradable to Android 10, OxygenOS 10",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,256GB 10GB RAM,"16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm","Auto-HDR, gyro-EIS",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, aptX HD, LE","GPS, GLONASS, BDS, GALILEO",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable","30W wired, 50% in 20 min (advertised)",,Speed Orange,,,,About 700 EUR,"
AnTuTu: 292716 (v7)
GeekBench: 9005 (v4.4)",,"1,222,497 hits",4.4
57,OnePlus 6T,True,True,True,False,"2018, October 29","Available. Released 2018, November 01",157.5 x 74.8 x 8.2 mm (6.20 x 2.94 x 0.32 in),185 g (6.53 oz),"Glass front (Gorilla Glass 6), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"6.41 inches, 100.9 cm2 (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)",Corning Gorilla Glass 6,,"Android 9.0 (Pie), upgradable to Android 11, OxygenOS 11.1.1.1",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm","Auto-HDR, gyro-EIS",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, aptX HD, LE","GPS, GLONASS, BDS, GALILEO",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3700 mAh, non-removable",20W wired,,"Thunder Purple, Mirror Black, Midnight Black","A6010, A6013",,,About 430 EUR,"
AnTuTu: 293994 (v7)
GeekBench: 8977 (v4.4)
GFXBench: 31fps (ES 3.1 onscreen)",Endurance rating 90h,"7,213,741 hits",4.4
58,OnePlus 6,True,True,True,False,"2018, May 16","Available. Released 2018, May 17",155.7 x 75.4 x 7.8 mm (6.13 x 2.97 x 0.31 in),177 g (6.24 oz),"Glass front (Gorilla Glass 5), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",Water-repellent coating,Optic AMOLED,"6.28 inches, 98.4 cm2 (~83.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,,"Android 8.1 (Oreo), upgradable to Android 11, OxygenOS 11.1.1.1",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm","Auto-HDR, gyro-EIS",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3300 mAh, non-removable",20W wired,,"Midnight Black, Mirror Black, Silk White, Amber Red","A6000, A6003",,,About 410 EUR,"
AnTuTu: 264200 (v7)
GeekBench: 9011 (v4.4)
GFXBench: 33fps (ES 3.1 onscreen)",Endurance rating 76h,"11,010,303 hits",4.3
59,OnePlus 5T,True,True,True,False,"2017, November 16. Released 2017, November 21",Discontinued,156.1 x 75 x 7.3 mm (6.15 x 2.95 x 0.29 in),162 g (5.71 oz),"Glass front (Gorilla Glass 5), aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"6.01 inches, 93.7 cm2 (~80.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~401 ppi density)",Corning Gorilla Glass 5,,"Android 7.1.1 (Nougat), upgradable to Android 10, OxygenOS 10.0.0",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 6GB RAM, 128GB 8GB RAM","16 MP, f/1.7, 27mm (wide), 1/2.8"", 1.12µm, PDAF
20 MP, f/1.7, 27mm (wide), 1/2.8"", 1.0µm, AF, PDAF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, 720p@30/120fps, Auto HDR","16 MP, f/2.0, 20mm (wide), 1/3.06"", 1.0µm",Auto-HDR,1080p (gyro-EIS),Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3300 mAh, non-removable",20W wired,,"Midnight Black, Lava Red, Sandstone White",A5010,,,About 840 EUR,"
AnTuTu: 207072 (v7), 260352 (v8)
GeekBench: 6759 (v4.4), 1705 (v5.1)
GFXBench: 24fps (ES 3.1 onscreen)",Endurance rating 82h,"9,441,447 hits",4.2
60,OnePlus 5,True,True,True,False,"2017, June. Released 2017, June",Discontinued,154.2 x 74.1 x 7.3 mm (6.07 x 2.92 x 0.29 in),153 g (5.40 oz),"Glass front (Gorilla Glass 5), aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,Optic AMOLED,"5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 5,,"Android 7.1.1 (Nougat), upgradable to Android 10, OxygenOS 10.0.0",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 6GB RAM, 128GB 8GB RAM","16 MP, f/1.7, 24mm (wide), 1/2.8"", 1.12µm, PDAF
20 MP, f/2.6, 36mm (standard), 1/2.8"", 1.0µm, 1.6x optical zoom, AF","HDR, panorama, dual-LED flash","4K@30fps, 1080p@30/60fps, 720p@30/120/480fps, Auto HDR","16 MP, f/2.0, 20mm (wide), 1/3.06"", 1.0µm",Auto-HDR,1080p (gyro-EIS),Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 3300 mAh, non-removable",20W wired,,"Midnight Black, Slate Gray",A5000,,,About 500 EUR,"
GeekBench: 6604 (v4.4)
GFXBench: 24fps (ES 3.1 onscreen)",Endurance rating 83h,"14,037,882 hits",4.4
