,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
19,vivo T3x,TRUE,TRUE,TRUE,TRUE,"2024, April 17","Available. Released 2024, April 24",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.02 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP64 dust/water resistant,"IPS LCD, 120Hz, 1000 nits (peak)","6.72 inches, 108.8 cm2 (~86.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~393 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps (8GB RAM version only), 1080p@30fps","8 MP, f/2.1, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable",44W wired,,"Crimson Bliss, Celestial Green",,,,About 150 EUR,,,"144,726 hits",
20,vivo V30 Lite 4G,TRUE,TRUE,TRUE,FALSE,"2024, April 04","Available. Released 2024, April 04",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),186 g or 188 g (6.56 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, 1200 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Asahi Glass AGC DT-Star2 Plus,Always-on display,"Android 14, Funtouch 14",Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, 1-80% in 30 min (advertised)
Reverse wired",,"Crystal Green, Crystal Black",,,,About 280 EUR,,,"49,745 hits",
21,vivo V30 Lite (ME),TRUE,TRUE,TRUE,TRUE,"2024, February 26","Available. Released 2024, February 26",162.4 x 74.9 x 7.8 mm (6.39 x 2.95 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),256GB 12GB RAM,"50 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 106° (ultrawide)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, 1-80% in 30 min (advertised)
Reverse wired",,"Leather Purple, Leather Orange, Crystal Black",,,,About 280 EUR,,,"47,223 hits",
22,vivo V40 SE,TRUE,TRUE,TRUE,TRUE,"2024, March 28","Available. Released 2024, April 18",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1200 nits (HBM), 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),256GB 8GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","44W wired, 1-50% in 25 min (advertised)",,"Crystal Black, Leather Purple",,,,About 360 EUR,,,"84,781 hits",
23,vivo X Fold3 Pro,TRUE,TRUE,TRUE,TRUE,"2024, March 26","Available. Released 2024, April 23",Unfolded: 160 x 142.4 x 5.2 mmFolded: 160 x 72.6 x 11.2 mm,236 g (8.32 oz),Carbon fiber hinge,"Dual SIM (Nano-SIM, dual stand-by)",IPX8 water resistant,"Foldable LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)","8.03 inches, 206.5 cm2 (~90.6% screen-to-body ratio)",2200 x 2480 pixels (~413 ppi density),,"Cover display:
AMOLED, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)
6.53 inches, 1172 x 2748 pixels, 21:9 ratio","Android 14, OriginOS 4",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.7, 23mm (wide), 1/1.3"", PDAF, Laser AF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", PDAF","Zeiss optics, Zeiss T* lens coating, Dual-LED flash, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, (wide)
Cover camera:
32 MP, f/2.4, (wide)",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,"USB Type-C 3.2 Gen 2, OTG","Dual screen fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, color spectrum","Si/C 5700 mAh, non-removable","100W wired, 1-100% in 31 min (advertised)
50W wireless
Reverse wireless",,"Black, White",V2337A,,,About 1280 EUR,,,"161,945 hits",
24,vivo X Fold3,TRUE,TRUE,TRUE,TRUE,"2024, March 26","Available. Released 2024, April 03",Unfolded: 160 x 142.7 x 4.7 mmFolded: 160 x 72.7 x 10.2 mm,219 g (7.72 oz),Carbon fiber hinge,"Dual SIM (Nano-SIM, dual stand-by)",,"Foldable LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)","8.03 inches, 206.5 cm2 (~90.5% screen-to-body ratio)",2200 x 2480 pixels (~413 ppi density),,"Cover display:
AMOLED, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)
6.53 inches, 1172 x 2748 pixels, 21:9 ratio","Android 14, OriginOS 4",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, (wide), 1/1.49"", PDAF, Laser AF, OIS
50 MP, f/1.9, (telephoto), 1/2.93"", PDAF, 2x optical zoom
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", PDAF","Zeiss optics, Zeiss T* lens coating, Dual-LED flash, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, (wide)
Cover camera:
32 MP, f/2.4, (wide)",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,"USB Type-C 3.2 Gen 2, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Si/C 5500 mAh, non-removable","80W wired
Reverse wireless",,"Black, White",V2337A,,,About 900 EUR,,,"86,543 hits",
25,vivo Pad3 Pro,TRUE,TRUE,TRUE,FALSE,"2024, March 26","Available. Released 2024, April 03",289.6 x 198.3 x 6.6 mm (11.40 x 7.81 x 0.26 in),679 g (1.50 lb),"Glass front, aluminum back, aluminum frame",No,Stylus support,"IPS LCD, 1B colors, 144Hz, HDR10, 900 nits (peak)","13.0 inches, 503.2 cm2 (~87.6% screen-to-body ratio)","2064 x 3096 pixels, 3:2 ratio (~286 ppi density)",,,"Android 14, OriginOS 4",Mediatek Dimensity 9300 (4 nm),Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",13 MP,"LED flash, panorama",Yes,8 MP,,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE",Unspecified,Yes,No,"USB Type-C 3.2, OTG, magnetic connector","Accelerometer, gyro, proximity (accessories only)","11500 mAh, non-removable","66W wired, PD
5W reverse wired",,"Gray, Blue, Purple",,,,About 380 EUR,,,"54,218 hits",
26,vivo T3,TRUE,TRUE,TRUE,TRUE,"2024, March 21","Available. Released 2024, March 27",163.2 x 75.8 x 7.8 mm or 8.0 mm,185.5 g or 188 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x 2.0 Cortex-A510),Mali-G610 MC4,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, OIS","16 MP, f/2.0, (wide), 1/3.1"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, flicker","5000 mAh, non-removable",44W wired,,"Cosmic Blue, Cystal Flake",,0.98 W/kg (head)     0.94 W/kg (body)     ,,About 220 EUR,,,"240,443 hits",
27,vivo Y03,TRUE,TRUE,TRUE,FALSE,"2024, March 13","Available. Released 2024, March 13",163.8 x 75.7 x 8.4 mm (6.45 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz","6.56 inches, 103.4 cm2 (~83.4% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 14, Funtouch 14",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, (wide), PDAF
0.08 MP, f/3.0 (auxiliary lens)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Accelerometer, proximity","Li-Ion 5000 mAh, non-removable",15W wired,,"Space Black, Gem Green",V2332,,,About 80 EUR,,,"336,003 hits",
28,vivo iQOO Z9,TRUE,TRUE,TRUE,TRUE,"2024, March 12","Available. Released 2024, March 13",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, HDR, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Dragontrail Star 2 Plus,Always-on display,"Android 14, Funtouch 14",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Mali-G610 MC4,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, HDR","16 MP, f/2.0, (wide), 1/3.0"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, QZSS, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","44W wired, 50% in 30 min (advertised)",,"Brushed Green, Graphene Blue",I2302,0.98 W/kg (head)     0.94 W/kg (body)     ,,"₹ 19,999",,,"447,264 hits",
29,vivo V30 Pro,TRUE,TRUE,TRUE,TRUE,"2024, February 28","Available. Released 2024, March 07",164.4 x 75.1 x 7.5 mm (6.47 x 2.96 x 0.30 in),188 g (6.63 oz),"Glass front (Schott α), glass back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, HDR10+, 120Hz, 2800 nits (peak)","6.78 inches, 111.0 cm2 (~89.9% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",Schott α glass,,"Android 14, Funtouch 14",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.49"", 1.0µm, PDAF, OIS
50 MP, f/1.9, 50mm (telephoto), 1/2.51"", 0.64µm, PDAF, 2x optical zoom
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","Zeiss optics, Zeiss T* lens coating, Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps","50 MP, f/2.0, 20mm (wide), 1/2.76"", 0.64µm, AF","Dual-LED flash, HDR","4K@30fps, 1080p@30fps",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","Li-Ion 5000 mAh, non-removable","80W wired, PD, 1-100% in 43 min (advertised)
Reverse wired",,"Bloom White, Waving Aqua, Lush Green, Noble Black",V2319,,,"₹ 40,300","
AnTuTu: 841083 (v9), 972568 (v10)
GeekBench: 3982 (v5), 3575 (v6)
3DMark Wild life: 6693 (offscreen 1440p)",,"997,028 hits",4.1
30,vivo Y100t,TRUE,TRUE,TRUE,TRUE,"2024, February 23","Available. Released 2024, February 28",164.6 x 75.8 x 8.8 mm (6.48 x 2.98 x 0.35 in),200 g (7.05 oz),"Glass front, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.64 inches, 106.8 cm2 (~85.6% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, OriginOS 3",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","64 MP, f/1.8, (wide), 1/2.0"", 0.7µm, PDAF, OIS
2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.5, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","120W wired
Reverse wired",,"Black, Blue, Silver",V2314A,,,About 200 EUR,,,"63,842 hits",
31,vivo iQOO Neo9 Pro,TRUE,TRUE,TRUE,TRUE,"2024, February 22","Available. Released 2024, February 22",163.5 x 75.7 x 8.0 mm or 8.3 mm,190 g or 196 g (6.70 oz),"Glass front, glass back or silicone polymer back (eco leather), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"LTPO AMOLED, 144Hz, HDR10+, 1400 nits (HBM), 3000 nits (peak)","6.78 inches, 111.0 cm2 (~89.7% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.49"", PDAF, OIS
8 MP, f/2.2, 119˚ (ultrawide)","LED flash, panorama, HDR","4K, 1080p, gyro-EIS","16 MP, f/2.5, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS, GALILEO, GLONASS, QZSS, BDS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5160 mAh, non-removable","120W wired, 1-50% in 11 min (advertised)
Reverse wired",,"Fiery Red, Conqueror Black",,,,"₹ 34,999",,,"397,656 hits",
32,vivo Y200e,TRUE,TRUE,TRUE,TRUE,"2024, February 22","Available. Released 2024, February 22",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, flicker","Li-Ion 5000 mAh, non-removable","44W wired, 1-32% in 15 min (advertised)",,"Black Diamond, Saffron Delight",,,,"₹ 19,999",,,"249,886 hits",
33,vivo V30,TRUE,TRUE,TRUE,TRUE,"2024, February 04","Available. Released 2024, March 04",164.4 x 75.1 x 7.5 mm (6.47 x 2.96 x 0.30 in),186 g (6.56 oz),"Glass front, plastic frame, glass back","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, HDR10+, 120Hz, 1200 nits (HBM), 2800 nits (peak)","6.78 inches, 111.0 cm2 (~89.9% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",Schott Alpha,,"Android 14, Funtouch 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.55"", 1.0µm, PDAF, OIS
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF
2 MP, f/2.4 (market/region dependent)","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF","Dual-LED flash, HDR","4K@30fps, 1080p@30fps",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS, GALILEO, GLONASS, QZSS, BDS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","80W wired, PD, 100% in 48 min (advertised)
Reverse wired",,"Bloom White, Waving Aqua, Lush Green, Noble Black",V2318,,,"₹ 31,000","
AnTuTu: 655526 (v9), 831644 (v10)
GeekBench: 2848 (v5), 3181 (v6)
3DMark Wild life: 5372 (offscreen 1440p)",,"1,374,754 hits",4.2
34,vivo Y100 (IDN),TRUE,TRUE,TRUE,TRUE,"2024, January 25","Available. Released 2024, February 02",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, 1200 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, (ultrawide)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/1.8, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, 1-45% in 15 min (advertised)",,"Purple Orchid, Black Onyx",,,,About 220 EUR,,,"396,585 hits",
35,vivo Y28,TRUE,TRUE,TRUE,TRUE,"2024, January 07","Available. Released 2024, January 07",163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, water and dust resistant","IPS LCD, 90Hz, 840 nits (HBM)","6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 13, Funtouch 13",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Ion 5000 mAh, non-removable","15W wired
Reverse wired",,"Crystal Purple, Glitter Aqua",,0.98 W/kg (head)     0.86 W/kg (body)     ,,"₹ 13,999",,,"150,033 hits",
36,vivo G2,TRUE,TRUE,TRUE,TRUE,"2024, January 19","Available. Released 2024, January 19",163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz, 840 nits (HBM)","6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 13, OriginOS 3",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","13 MP, f/2.2, (wide), PDAF
Anti-stroboscopic sensor","LED flash, panorama",1080p@30fps,"5 MP, f/1.8, (wide)",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD","GPS, GLONASS, BDS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","15W wired
Reverse wired",,Black,V2318A,,,About 160 EUR,,,"51,287 hits",
